ticker,date,open,high,low,close
FXS,2023-03-13,8.12975,9.21075,8.11057,9.00679
FXS,2023-03-14,9.01483,9.57423,8.47524,8.96478
FXS,2023-03-15,8.97592,9.47407,7.97457,8.18263
FXS,2023-03-16,8.1731,8.44097,7.97775,8.25176
FXS,2023-03-17,8.25626,8.77898,8.237,8.68096
FXS,2023-03-18,8.6869,9.20868,8.57609,8.71139
FXS,2023-03-19,8.70595,8.88319,8.29858,8.52123
FXS,2023-03-20,8.52475,8.59889,7.96534,8.03422
FXS,2023-03-21,8.02418,8.4028,7.75953,8.11087
FXS,2023-03-22,8.1128,8.47386,7.64967,7.89373
FXS,2023-03-23,7.88987,8.25949,7.83309,8.14992
FXS,2023-03-24,8.15108,8.22944,7.69938,7.86009
FXS,2023-03-25,7.87789,7.9955,7.61761,7.69346
FXS,2023-03-26,7.65742,8.06417,7.64441,7.82583
FXS,2023-03-27,7.84862,7.97029,7.3818,7.46658
FXS,2023-03-28,7.47151,8.1632,7.32834,7.99804
FXS,2023-03-29,8.01512,9.19339,8.00304,8.74757
FXS,2023-03-30,8.74462,9.02671,8.30833,8.46637
FXS,2023-03-31,8.46529,8.93759,8.33667,8.88287
FXS,2023-04-01,8.88287,9.06108,8.71009,8.84727
FXS,2023-04-02,8.83418,8.92355,8.48885,8.74751
FXS,2023-04-03,8.74042,9.29793,8.47147,8.86037
FXS,2023-04-04,8.86955,9.66796,8.82297,9.54787
FXS,2023-04-05,9.55187,10.1114,9.39357,9.7335
FXS,2023-04-06,9.70149,9.78193,9.2175,9.61236
FXS,2023-04-07,9.60746,9.74687,9.28438,9.36202
FXS,2023-04-08,9.36001,9.8041,9.10764,9.17258
FXS,2023-04-09,9.16157,9.27063,8.58498,8.87723
FXS,2023-04-10,8.87621,9.11201,8.7271,9.0304
FXS,2023-04-11,9.0344,9.17352,8.68581,8.72154
FXS,2023-04-12,8.71762,9.00465,8.41975,8.71779
FXS,2023-04-13,8.74582,9.16261,8.53344,9.13376
FXS,2023-04-14,9.14368,10.2594,9.12475,10.1104
FXS,2023-04-15,10.1884,10.6991,9.95385,10.3163
FXS,2023-04-16,10.3312,10.6318,10.0315,10.4391
FXS,2023-04-17,10.443,10.4473,9.94394,10.0965
FXS,2023-04-18,10.109,10.9039,10.0268,10.1447
FXS,2023-04-19,10.1489,10.2323,9.01924,9.13402
FXS,2023-04-20,9.13902,9.15074,8.55103,8.77588
